filename|nodes|time|input-path|number-of-jobs|random-selection|index|type|submission-time|machine-speed|wallclock-limit|read-time|dump-time|checkpoint-interval|reservation-json
1490_nodes_01-01-2018__02-01-2018_time_04bb6efa-3d0a-4b82-8bbf-366659549dc1.json|1490|01-01-2018:02-01-2018|sanitized_jobs.csv|False|False|1|parallel_homogeneous|False|1|101%|False|False|False|"{""reservations-array"": [{""type"": ""parallel_homogeneous"", ""machines"": {""prefix"": ""a"", ""machine-speed"": 1, ""total-resources"": ""0-1489"", ""interval"": ""0-1489""}, ""repeat-every"": ""1months 0days 00:00:00"", ""time"": ""09:00:00"", ""start"": ""30days 00:00:00"", ""submit"": -1, ""count"": 30}]}"
1490_nodes_01-01-2018__02-01-2018_time_4abb27af-f80a-4d7c-9bd9-547eaadc0a2d.json|1490|01-01-2018:02-01-2018|sanitized_jobs.csv|False|False|1|parallel_homogeneous|False|1|101%|False|False|False|"{""reservations-array"": [{""type"": ""parallel_homogeneous"", ""machines"": {""prefix"": ""a"", ""machine-speed"": 1, ""total-resources"": ""0-1489"", ""interval"": ""0-744""}, ""repeat-every"": ""1months 0days 00:00:00"", ""time"": ""09:00:00"", ""start"": ""30days 00:00:00"", ""submit"": -1, ""count"": 30}]}"
